Ref,Package,PosX,PosY,width_mm,height_mm,Rot,Side
C11,C0603-ROUND,195.895,53.209,2.9968,2.0168,0.0,top
TP_USH0,TP-SP,123.2281,88.8746,0.8,0.8,0.0,top
TP_5V1,TP-SP,180.3781,101.1936,0.8,0.8,0.0,top
ON0,CHIP-LED0805,232.09,46.224,3.3,1.3516,-90.0,top
Y1,QS,192.593,56.638,11.5824,4.7244,180.0,top
C8,C0603-ROUND,186.37,40.89,2.9968,2.0168,180.0,top
C9,C0603-ROUND,189.672,53.209,2.9968,2.0168,180.0,top
FD1,FD-1-1.5,180.02,32.889,2.2,2.2,0.0,top
C10,C0603-ROUND,212.4812,72.1828,2.9968,2.0168,180.0,top
ORIGIN0,TP-SP,114.2111,131.6736,0.8,0.8,0.0,top
PC1,PANASONIC_D,199.197,73.656,6.6016,7.8,90.0,top
T1,SOT-23,181.798,56.257,2.921,3.048,-90.0,top
RN1,CAY16,201.61,58.924,2.0,3.2016,90.0,top
TP_GATE0,TP-SP,126.2761,110.2106,0.8,0.8,0.0,top
L1,0805,181.29,37.715,3.4,1.32,180.0,top
RESET0,TS42,180.02,33.397,10.0,5.9,0.0,top
C1,C0603-ROUND,192.085,67.433,2.0168,2.9968,-90.0,top
FD3,FD-1-1.5,177.4,79.39,2.2,2.2,0.0,top
PC2,PANASONIC_D,192.085,73.656,6.6016,7.8,90.0,top
F1,L1812,177.734,56.257,3.4,5.8,90.0,top
C5,C0603-ROUND,201.61,52.955,2.9968,2.0168,0.0,top
U3,ATMEL_QFN32,193.609,48.129,5.4128,5.4128,90.0,top
R1,R0603-ROUND,192.72,53.209,2.9968,2.0168,0.0,top
TP_MOSI2,TP-SP,132.4991,86.7156,0.8,0.8,0.0,top
JP2,2X02,193.228,41.652,5.2324,5.2324,90.0,top
TP_CMP0,TP-SP,144.1831,108.3056,0.8,0.8,0.0,top
ICSP1,2X03,191.958,36.572,7.7724,5.2324,180.0,top
TX0,CHIP-LED0805,201.61,46.224,3.3,1.3516,90.0,top
C6,C0603-ROUND,217.2056,72.386,2.9968,2.0168,180.0,top
L2,0805,212.3796,74.9768,3.4,1.32,0.0,top
U5,MSOP08,192.72,62.48,5.425,3.4024,90.0,top
C2,C0603-ROUND,185.735,52.955,2.9968,2.0168,180.0,top
C7,C0603-ROUND,201.61,51.304,2.9968,2.0168,0.0,top
D2,MINIMELF,233.106,54.86,1.8,4.8,-90.0,top
D1,SMB,195.26,80.006,6.8,3.9116,180.0,top
U2,SOT23-DBV,195.641,67.56,3.8,2.9964,-90.0,top
TP_TX0,TP-SP,165.2651,99.6696,0.8,0.8,0.0,top
TP_DTR0,TP-SP,140.1191,101.8286,0.8,0.8,0.0,top
TP_LL0,TP-SP,139.7381,88.4936,0.8,0.8,0.0,top
TP_RXL0,TP-SP,145.5801,95.9866,0.8,0.8,0.0,top
J2,1X18-CUSTOM,219.39,32.0,47.1424,2.6924,180.0,top
TP_USBVCC0,TP-SP,124.1171,100.8126,0.8,0.8,0.0,top
RX0,CHIP-LED0805,201.61,48.51,3.3,1.3516,90.0,top
FD2,FD-1-1.5,223.827,61.868,2.2,2.2,0.0,top
U1,SOT223,181.417,65.401,8.6977,6.8308,90.0,top
X1,POWERSUPPLY_DC-21MM,179.004,74.418,15.5509,11.0551,90.0,top
D3,MINIMELF,186.751,36.572,1.8,4.8,90.0,top
TP_ONL0,TP-SP,170.8531,96.6216,0.8,0.8,0.0,top
Z1,CT_CN0603,186.37,43.43,3.0,1.0,180.0,top
RESET-EN0,SJ,201.61,55.495,3.4544,2.1844,0.0,top
Z2,CT_CN0603,186.37,49.145,3.0,1.0,180.0,top
TP_VUCAP0,TP-SP,129.1971,89.7636,0.8,0.8,0.0,top
TP_TXL0,TP-SP,145.5801,92.9386,0.8,0.8,0.0,top
RN4,CAY16,232.09,49.018,2.0,3.2016,90.0,top
C3,C0603-ROUND,199.197,67.433,2.0168,2.9968,90.0,top
ICSP0,2X03,238.567,54.86,5.2324,7.7724,-90.0,top
TP_SCK2,TP-SP,132.4991,84.1756,0.8,0.8,0.0,top
Y2,RESONATOR,214.945,57.908,3.42,2.0,0.0,top
TP_LCMD0,TP-SP,133.1341,110.5916,0.8,0.8,0.0,top
J1,1X14-CUSTOM,219.39,80.26,38.2524,2.6924,0.0,top
C4,C0603-ROUND,201.61,38.35,2.9968,2.0168,180.0,top
UNK_HOLE_3,dummyfp3,187.64,80.26,3.2,3.2,0.0,top
TP_RESET2,TP-SP,129.9591,84.1756,0.8,0.8,0.0,top
RN2,CAY16,201.61,43.43,2.0,3.2016,-90.0,top
UNK_HOLE_1,dummyfp1,239.71,75.18,3.2,3.2,0.0,top
UNK_HOLE_0,dummyfp0,239.71,47.24,3.2,3.2,0.0,top
TP_RX0,TP-SP,166.6621,97.5106,0.8,0.8,0.0,top
UNK_HOLE_2,dummyfp2,188.91,32.0,3.2,3.2,0.0,top
TP_MISO2,TP-SP,135.0391,84.1756,0.8,0.8,0.0,top
X2,PN61729,177.48,44.7,16.004,15.216,-90.0,top
U4,MLF32,216.215,66.925,5.7428,5.9,-90.0,top
L0,CHIP-LED0805,201.61,40.636,3.3,1.3516,-90.0,top
R2,R0603-ROUND,214.945,60.067,2.9968,2.0168,180.0,top
RN3,CAY16,186.497,45.97,2.0,3.2016,90.0,top
GROUND0,SJ,125.6411,91.0336,3.4544,2.1844,180.0,bottom
