Ref,Val,Package,PosX,PosY,Rot,Side
"GROUND0","","SJ",-125.641100,-91.033600,180.000000,bottom
"C1","100n","C0603-ROUND",132.626100,-116.306600,-90.000000,top
"C2","100n","C0603-ROUND",126.276100,-101.828600,180.000000,top
"C3","1u","C0603-ROUND",139.738100,-116.306600,90.000000,top
"C4","100n","C0603-ROUND",142.151100,-87.223600,180.000000,top
"C5","100n","C0603-ROUND",142.151100,-101.828600,0.000000,top
"C6","100n","C0603-ROUND",157.746700,-121.259600,180.000000,top
"C7","100n","C0603-ROUND",142.151100,-100.177600,0.000000,top
"C8","1u","C0603-ROUND",126.911100,-89.763600,180.000000,top
"C9","22p","C0603-ROUND",130.213100,-102.082600,180.000000,top
"C10","100nF","C0603-ROUND",153.022300,-121.056400,180.000000,top
"C11","22p","C0603-ROUND",136.436100,-102.082600,0.000000,top
"D1","M7","SMB",135.801100,-128.879600,180.000000,top
"D2","CD1206-S01575","MINIMELF",173.647100,-103.733600,-90.000000,top
"D3","CD1206-S01575","MINIMELF",127.292100,-85.445600,90.000000,top
"F1","MF-MSMF050-2 500mA","L1812",118.275100,-105.130600,90.000000,top
"FD1","DNP","FD-1-1.5",120.561100,-81.762600,0.000000,top
"FD2","DNP","FD-1-1.5",164.368100,-110.741600,0.000000,top
"FD3","DNP","FD-1-1.5",117.941100,-128.263600,0.000000,top
"FRAME1","DNP","FRAME",92.711100,-136.173600,0.000000,top
"ICSP0","3x2 M","2X03",179.108100,-103.733600,-90.000000,top
"ICSP1","3x2 M","2X03",132.499100,-85.445600,180.000000,top
"J1","-","1X14-CUSTOM",159.931100,-129.133600,0.000000,top
"J2","-","1X18-CUSTOM",159.931100,-80.873600,180.000000,top
"JP2","2x2 M-NM","2X02",133.769100,-90.525600,90.000000,top
"L0","YELLOW","CHIP-LED0805",142.151100,-89.509600,-90.000000,top
"L1","BLM21","0805",121.831100,-86.588600,180.000000,top
"L2","10uH","0805",152.920700,-123.850400,0.000000,top
"ON0","GREEN","CHIP-LED0805",172.631100,-95.097600,-90.000000,top
"ORIGIN0","TP_SP","TP-SP",114.211100,-131.673600,0.000000,top
"PC1","47u","PANASONIC_D",139.738100,-122.529600,90.000000,top
"PC2","47u","PANASONIC_D",132.626100,-122.529600,90.000000,top
"R1","1M","R0603-ROUND",133.261100,-102.082600,0.000000,top
"R2","1M","R0603-ROUND",155.486100,-108.940600,180.000000,top
"RESET-EN0","","SJ",142.151100,-104.368600,0.000000,top
"RESET0","TS42031-160R-TR-7260","TS42",120.561100,-82.270600,0.000000,top
"RN1","10K","CAY16",142.151100,-107.797600,90.000000,top
"RN2","1K","CAY16",142.151100,-92.303600,-90.000000,top
"RN3","22R","CAY16",127.038100,-94.843600,90.000000,top
"RN4","1K","CAY16",172.631100,-97.891600,90.000000,top
"RX0","YELLOW","CHIP-LED0805",142.151100,-97.383600,90.000000,top
"T1","FDN340P","SOT-23",122.339100,-105.130600,-90.000000,top
