Ref,Val,Package,PosX,PosY,Rot,Side
"GROUND0","","SJ",125.641100,-91.033600,180.000000,bottom
"C1","100n","C0603-ROUND",192.085000,-67.433000,-90.000000,top
"C2","100n","C0603-ROUND",185.735000,-52.955000,180.000000,top
"C3","1u","C0603-ROUND",199.197000,-67.433000,90.000000,top
"C4","100n","C0603-ROUND",201.610000,-38.350000,180.000000,top
"C5","100n","C0603-ROUND",201.610000,-52.955000,0.000000,top
"C6","100n","C0603-ROUND",217.205600,-72.386000,180.000000,top
"C7","100n","C0603-ROUND",201.610000,-51.304000,0.000000,top
"C8","1u","C0603-ROUND",186.370000,-40.890000,180.000000,top
"C9","22p","C0603-ROUND",189.672000,-53.209000,180.000000,top
"C10","100nF","C0603-ROUND",212.481200,-72.182800,180.000000,top
"C11","22p","C0603-ROUND",195.895000,-53.209000,0.000000,top
"D1","M7","SMB",195.260000,-80.006000,180.000000,top
"D2","CD1206-S01575","MINIMELF",233.106000,-54.860000,-90.000000,top
"D3","CD1206-S01575","MINIMELF",186.751000,-36.572000,90.000000,top
"F1","MF-MSMF050-2 500mA","L1812",177.734000,-56.257000,90.000000,top
"FD1","DNP","FD-1-1.5",180.020000,-32.889000,0.000000,top
"FD2","DNP","FD-1-1.5",223.827000,-61.868000,0.000000,top
"FD3","DNP","FD-1-1.5",177.400000,-79.390000,0.000000,top
"FRAME1","DNP","FRAME",92.711100,-136.173600,0.000000,top
"ICSP0","3x2 M","2X03",238.567000,-54.860000,-90.000000,top
"ICSP1","3x2 M","2X03",191.958000,-36.572000,180.000000,top
"J1","-","1X14-CUSTOM",219.390000,-80.260000,0.000000,top
"J2","-","1X18-CUSTOM",219.390000,-32.000000,180.000000,top
"JP2","2x2 M-NM","2X02",193.228000,-41.652000,90.000000,top
"L0","YELLOW","CHIP-LED0805",201.610000,-40.636000,-90.000000,top
"L1","BLM21","0805",181.290000,-37.715000,180.000000,top
"L2","10uH","0805",212.379600,-74.976800,0.000000,top
"ON0","GREEN","CHIP-LED0805",232.090000,-46.224000,-90.000000,top
"ORIGIN0","TP_SP","TP-SP",114.211100,-131.673600,0.000000,top
"PC1","47u","PANASONIC_D",199.197000,-73.656000,90.000000,top
"PC2","47u","PANASONIC_D",192.085000,-73.656000,90.000000,top
"R1","1M","R0603-ROUND",192.720000,-53.209000,0.000000,top
"R2","1M","R0603-ROUND",214.945000,-60.067000,180.000000,top
"RESET-EN0","","SJ",201.610000,-55.495000,0.000000,top
"RESET0","TS42031-160R-TR-7260","TS42",180.020000,-33.397000,0.000000,top
"RN1","10K","CAY16",201.610000,-58.924000,90.000000,top
"RN2","1K","CAY16",201.610000,-43.430000,-90.000000,top
"RN3","22R","CAY16",186.497000,-45.970000,90.000000,top
"RN4","1K","CAY16",232.090000,-49.018000,90.000000,top
"RX0","YELLOW","CHIP-LED0805",201.610000,-48.510000,90.000000,top
"T1","FDN340P","SOT-23",181.798000,-56.257000,-90.000000,top
"TP_5V1","TP_SP","TP-SP",180.378100,-101.193600,0.000000,top
"TP_CMP0","TP_SP","TP-SP",144.183100,-108.305600,0.000000,top
"TP_DTR0","TP_SP","TP-SP",140.119100,-101.828600,0.000000,top
"TP_GATE0","TP_SP","TP-SP",126.276100,-110.210600,0.000000,top
"TP_LCMD0","TP_SP","TP-SP",133.134100,-110.591600,0.000000,top
"TP_LL0","TP_SP","TP-SP",139.738100,-88.493600,0.000000,top
"TP_MISO2","TP_SP","TP-SP",135.039100,-84.175600,0.000000,top
"TP_MOSI2","TP_SP","TP-SP",132.499100,-86.715600,0.000000,top
"TP_ONL0","TP_SP","TP-SP",170.853100,-96.621600,0.000000,top
"TP_RESET2","TP_SP","TP-SP",129.959100,-84.175600,0.000000,top
"TP_RX0","TP_SP","TP-SP",166.662100,-97.510600,0.000000,top
